timestamp,temperature,battery,voltage,fuel,temp_status,battery_status,voltage_status,fuel_status
2026-06-12T16:05:55Z,20.0,100.0,32.4,100.0,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:06:05Z,20.84,99.75,32.45,99.88,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:06:15Z,21.66,99.5,32.57,99.76,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:06:25Z,22.43,99.25,32.34,99.64,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:06:35Z,23.14,99.0,32.36,99.52,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:06:45Z,23.75,98.75,32.32,99.4,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:06:55Z,24.25,98.5,32.49,99.28,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:07:05Z,24.64,98.25,32.39,99.16,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:07:15Z,24.89,98.0,32.36,99.04,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:07:25Z,24.99,97.75,32.37,98.92,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:07:35Z,24.96,97.5,32.17,98.8,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:07:45Z,24.79,97.25,32.38,98.68,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:07:55Z,24.47,97.0,32.48,98.56,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:08:05Z,24.03,96.75,32.52,98.44,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:08:15Z,23.48,96.5,32.26,98.32,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:08:25Z,22.82,96.25,32.3,98.2,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:08:35Z,22.08,96.0,32.36,98.08,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:08:45Z,21.29,95.75,32.29,97.96,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:08:55Z,45.45,95.5,32.23,97.84,CRITICAL_HIGH,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:09:05Z,44.61,95.25,32.36,97.72,WARNING_HIGH,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:09:15Z,43.77,95.0,32.58,97.6,WARNING_HIGH,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:09:25Z,42.97,94.75,32.24,97.48,WARNING_HIGH,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:09:35Z,42.23,94.5,32.37,97.36,WARNING_HIGH,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:09:45Z,41.57,94.25,32.31,97.24,WARNING_HIGH,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:09:55Z,41.0,94.0,32.33,97.12,WARNING_HIGH,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:10:05Z,40.55,93.75,32.42,97.0,WARNING_HIGH,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:10:15Z,40.23,93.5,32.34,96.88,WARNING_HIGH,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:10:25Z,40.05,93.25,32.4,96.76,WARNING_HIGH,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:10:35Z,15.0,93.0,32.23,96.64,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:10:45Z,15.1,92.75,32.49,96.52,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:10:55Z,15.34,92.5,32.59,96.4,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:11:05Z,15.72,92.25,32.33,96.28,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:11:15Z,16.21,92.0,32.54,96.16,NOMINAL,NOMINAL,NOMINAL,NOMINAL
2026-06-12T16:11:25Z,16.82,91.75,32.37,96.04,NOMINAL,NOMINAL,NOMINAL,NOMINAL
