timestamp,temperature,battery,voltage,fuel,temp_status,battery_status,voltage_status,fuel_status
2026-05-30 13:58:19.279362,20.49301338863604,2.8300583689729253,4.11889347152582,99.90970266288934,Normal,Critical!!,Normal,Normal
2026-05-30 13:58:20.290607,20.901457446357075,8.068648427645606,3.1748903281301657,99.79094469592278,Normal,Critical!!,Critical!!,Normal
2026-05-30 13:58:21.291739,21.082403549733055,1.0030479971456085,3.040483019632934,99.60656536639843,Normal,Critical!!,Critical!!,Normal
2026-05-30 13:58:22.300987,21.528276679982536,6.109282629034324,3.2404554076261576,99.40903513979131,Normal,Critical!!,Critical!!,Normal
2026-05-30 13:58:23.302252,21.721987479106726,8.935809993084064,3.179371861977312,99.30255110288186,Normal,Critical!!,Critical!!,Normal
2026-05-30 13:58:24.304717,22.071049176156496,1.973807786427072,3.1726522668724417,99.11343628737627,Normal,Critical!!,Critical!!,Normal
2026-05-30 13:58:25.306626,22.195284537768796,7.043297601994877,3.147722192247195,98.96533872768555,Normal,Critical!!,Critical!!,Normal
2026-05-30 13:58:26.307954,22.387457940401877,7.70114229362245,3.0321103854079157,98.88481547872892,Normal,Critical!!,Critical!!,Normal
2026-05-30 13:58:27.309255,22.855132718956423,5.695924080388787,3.2722651187192358,98.81851742141335,Normal,Critical!!,Critical!!,Normal
2026-05-30 13:58:28.310279,23.176696907619352,3.572494300180473,3.0203114455281104,98.71487063048262,Normal,Critical!!,Critical!!,Normal
2026-05-30 13:58:29.311804,23.443698883164956,7.798983078714521,3.1346352572045206,98.64381765119276,Normal,Critical!!,Critical!!,Normal
2026-05-30 13:58:30.313063,23.859733892829468,6.145655086565749,3.1887728967826585,98.52833589867525,Normal,Critical!!,Critical!!,Normal
2026-05-30 13:58:31.314483,24.110670868859334,8.581952512760889,3.0782753331378165,98.33925585682971,Normal,Critical!!,Critical!!,Normal
2026-05-30 13:58:32.315730,24.344691571560176,3.5622776826545524,3.2956876205109,98.17638410559627,Normal,Critical!!,Critical!!,Normal
2026-05-30 13:58:33.317580,24.552093056142898,6.869474882731587,3.0628096748874514,98.01276725709542,Normal,Critical!!,Critical!!,Normal
